"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2024","17,103.7","17,107.5","17,132.9","17,071.1","","0.04%"
"03/28/2024","17,097.4","17,167.0","17,199.7","17,082.2","","-0.36%"
"03/27/2024","17,159.2","17,102.9","17,188.9","17,084.8","","0.37%"
"03/26/2024","17,095.2","17,120.5","17,155.8","17,090.3","","-0.12%"
"03/25/2024","17,115.5","17,055.0","17,130.0","17,044.8","","0.41%"
"03/22/2024","17,044.9","17,006.8","17,113.6","16,990.3","","0.26%"
"03/21/2024","17,001.3","17,160.8","17,191.4","16,998.9","","-0.91%"
"03/20/2024","17,156.9","17,072.8","17,166.3","17,028.8","","0.52%"
"03/19/2024","17,068.9","17,059.7","17,104.7","17,025.6","","0.10%"
"03/18/2024","17,051.2","16,987.1","17,112.3","16,966.0","","0.46%"
"03/15/2024","16,972.8","16,955.7","17,014.0","16,943.3","","0.15%"
"03/14/2024","16,947.2","17,050.7","17,065.6","16,951.0","","-0.55%"
"03/13/2024","17,041.4","17,035.2","17,077.2","16,996.6","","0.10%"
"03/12/2024","17,025.1","17,032.1","17,062.5","16,995.4","","-0.02%"
"03/11/2024","17,028.2","17,061.7","17,068.7","17,014.9","","-0.10%"
"03/08/2024","17,045.3","17,136.4","17,149.7","17,022.7","","-0.50%"
"03/07/2024","17,130.5","17,108.3","17,139.5","17,010.4","","0.16%"
"03/06/2024","17,102.8","17,123.6","17,138.1","17,036.2","","-0.06%"
"03/05/2024","17,112.9","17,087.3","17,151.9","17,071.7","","0.20%"
"03/04/2024","17,078.8","17,022.7","17,105.4","17,015.7","","0.41%"
"03/01/2024","17,008.7","16,977.7","17,025.1","16,952.1","","0.22%"
"02/29/2024","16,971.5","16,996.3","17,061.8","16,964.3","","-0.11%"
"02/28/2024","16,990.8","16,960.0","17,012.7","16,933.5","","0.21%"
"02/27/2024","16,954.6","16,957.0","17,000.9","16,941.3","","0.02%"
"02/26/2024","16,951.6","16,882.6","16,975.0","16,861.6","","0.51%"
"02/23/2024","16,865.3","16,874.6","16,905.2","16,857.8","","-0.01%"
"02/22/2024","16,867.7","16,910.8","16,976.0","16,840.3","","-0.23%"
"02/21/2024","16,907.0","16,923.8","16,964.9","16,869.4","","-0.03%"
"02/20/2024","16,912.1","16,847.6","16,974.7","16,824.9","","0.43%"
"02/19/2024","16,839.1","16,832.9","16,871.8","16,820.2","","0.09%"
"02/16/2024","16,823.6","16,822.7","16,874.5","16,762.6","","0.03%"
"02/15/2024","16,818.9","16,728.2","16,847.0","16,675.5","","0.57%"
"02/14/2024","16,723.4","16,700.9","16,741.5","16,677.5","","0.19%"
"02/13/2024","16,692.2","16,796.8","16,835.8","16,686.1","","-0.58%"
"02/12/2024","16,790.4","16,856.1","16,888.1","16,772.7","","-0.37%"
"02/09/2024","16,852.3","16,853.0","16,878.8","16,825.6","","0.06%"
"02/08/2024","16,842.9","16,842.0","16,869.4","16,793.6","","0.05%"
"02/07/2024","16,835.1","16,917.6","16,934.1","16,816.2","","-0.45%"
"02/06/2024","16,910.7","16,871.9","16,939.7","16,863.2","","0.28%"
"02/05/2024","16,863.4","16,885.1","16,954.3","16,839.7","","-0.11%"
"02/02/2024","16,882.3","17,139.2","17,152.6","16,878.8","","-1.45%"
"02/01/2024","17,131.1","17,064.5","17,145.5","16,992.6","","0.40%"
"01/31/2024","17,062.2","17,113.4","17,182.1","17,033.7","","-0.27%"
"01/30/2024","17,108.6","17,127.0","17,143.6","17,066.1","","-0.08%"
"01/29/2024","17,121.6","17,160.7","17,175.8","17,067.7","","-0.24%"
"01/26/2024","17,162.4","17,159.1","17,220.9","17,105.4","","0.02%"
"01/25/2024","17,158.4","17,100.3","17,254.0","17,076.0","","0.39%"
"01/24/2024","17,091.8","16,965.6","17,175.7","16,950.7","","0.85%"
"01/23/2024","16,948.4","17,015.6","17,080.0","16,914.0","","-0.34%"
"01/22/2024","17,007.0","17,007.1","17,056.8","17,003.2","","-0.02%"
"01/19/2024","17,010.2","16,987.5","17,021.4","16,966.5","","0.18%"
"01/18/2024","16,979.8","17,019.4","17,051.9","16,941.5","","-0.19%"
"01/17/2024","17,012.4","16,952.6","17,023.4","16,948.7","","0.39%"
"01/16/2024","16,947.1","17,032.7","17,044.5","16,933.1","","-0.45%"
"01/15/2024","17,024.1","17,034.3","17,063.6","17,006.3","","0.02%"
"01/12/2024","17,020.2","17,062.1","17,104.5","17,003.9","","-0.19%"
"01/11/2024","17,052.9","17,084.4","17,099.3","16,993.7","","-0.14%"
"01/10/2024","17,076.4","16,965.7","17,085.2","16,956.4","","0.71%"
"01/09/2024","16,956.3","17,003.0","17,023.1","16,932.3","","-0.21%"
"01/08/2024","16,992.8","16,982.7","17,045.7","16,957.1","","0.14%"
"01/05/2024","16,969.5","16,956.9","17,065.7","16,874.9","","0.14%"
"01/04/2024","16,945.2","16,906.5","16,997.2","16,897.2","","0.27%"
"01/03/2024","16,900.3","16,938.1","17,008.8","16,861.6","","-0.11%"
"01/02/2024","16,918.7","17,005.2","17,079.3","16,920.3","","-0.49%"
"01/01/2024","17,002.2","17,004.4","17,009.8","16,992.1","","0.07%"
"12/29/2023","16,989.9","17,056.1","17,117.1","16,988.3","","-0.34%"
"12/28/2023","17,047.4","17,138.1","17,178.7","17,046.0","","-0.46%"
"12/27/2023","17,126.4","17,097.3","17,163.6","16,974.8","","0.20%"
"12/26/2023","17,093.0","17,046.2","17,101.2","17,043.1","","0.32%"
"12/25/2023","17,038.8","17,057.1","17,064.8","17,020.7","","-0.03%"
"12/22/2023","17,043.5","17,093.0","17,146.5","17,015.5","","-0.24%"
"12/21/2023","17,084.4","16,969.5","17,098.5","16,963.3","","0.74%"
"12/20/2023","16,959.4","17,025.3","17,033.0","16,951.7","","-0.35%"
"12/19/2023","17,019.0","16,943.1","17,036.9","16,917.4","","0.50%"
"12/18/2023","16,934.6","16,891.5","16,968.3","16,873.7","","0.35%"
"12/15/2023","16,874.8","17,037.4","17,073.6","16,869.0","","-0.91%"
"12/14/2023","17,030.6","17,028.7","17,067.1","16,839.8","","0.05%"
"12/13/2023","17,021.7","16,858.7","17,065.5","16,822.1","","1.01%"
"12/12/2023","16,851.7","16,806.4","16,914.9","16,799.4","","0.30%"
"12/11/2023","16,801.0","16,691.9","16,832.2","16,684.9","","0.70%"
"12/08/2023","16,684.9","16,748.4","16,758.5","16,631.4","","-0.32%"
"12/07/2023","16,738.4","16,683.9","16,784.1","16,675.4","","0.41%"
"12/06/2023","16,670.3","16,739.2","16,753.6","16,667.6","","-0.37%"
"12/05/2023","16,732.3","16,747.0","16,826.4","16,710.5","","-0.06%"
"12/04/2023","16,741.6","16,858.5","16,871.7","16,696.8","","-0.62%"
"12/01/2023","16,845.3","16,887.3","16,962.6","16,767.9","","-0.19%"
